id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
742,수도권본부,경기도 가평군 청평면 대성리 599-22,경춘선,765,활용,운행선 인근부지,미사용,계획없음,58.0, ,58900.0,가능,3.54,1222980.0,236093.0
743,수도권본부,경기도 가평군 청평면 대성리 599-23,경춘선,192,활용,운행선 인근부지,미사용,계획없음,14.0, ,58900.0,가능,3.54,295202.0,53862.0
746,수도권본부,경기도 가평군 청평면 대성리 604-13,경춘선,559,활용,운행선 인근부지,미사용,계획없음,43.0, ,58900.0,가능,3.54,906696.0,175035.0
777,수도권본부,경기도 가평군 청평면 대성리 804-8,경춘선,22,활용,운행선 인근부지,미사용,계획없음,1.0, ,58900.0,가능,3.54,21081.0,3846.0
778,수도권본부,경기도 가평군 청평면 대성리 804-9,경춘선,28,활용,운행선 인근부지,미사용,계획없음,2.0,철도용지,58900.0,가능,3.54,42169.0,7694.0
811,수도권본부,경기도 가평군 청평면 대성리 산 180-2,경춘선,99,활용,운행선 인근부지,미사용,계획없음,7.0, ,3960.0,가능,3.54,147597.0,26930.0
812,수도권본부,경기도 가평군 청평면 대성리 산 180-4,경춘선,198,활용,운행선 인근부지,미사용,계획없음,15.0, ,3960.0,가능,3.54,316287.0,57709.0
813,수도권본부,경기도 가평군 청평면 대성리 산 180-5,경춘선,3669,활용,운행선 인근부지,미사용,계획없음,282.0, ,,,,,
1106,수도권본부,강원도 춘천시 근화동 100-1,경춘선,295,활용,운행선 인근부지,미사용,계획없음,22.0, ,136300.0,가능,3.64,477840.0,87186.0
1107,수도권본부,강원도 춘천시 근화동 100-3,경춘선,10,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1108,수도권본부,강원도 춘천시 근화동 100-4,경춘선,10,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1109,수도권본부,강원도 춘천시 근화동 122-7,경춘선,365,활용,운행선 인근부지,미사용,계획없음,28.0, ,118500.0,가능,3.64,608168.0,110965.0
1110,수도권본부,강원도 춘천시 근화동 150,경춘선,3494,활용,운행선 인근부지,미사용,계획없음,268.0, ,139900.0,가능,3.64,5820980.0,1066857.0
1111,수도권본부,강원도 춘천시 근화동 155-1,경춘선,1419,활용,운행선 인근부지,미사용,계획없음,109.0, ,378200.0,가능,3.64,2367490.0,453918.0
1112,수도권본부,강원도 춘천시 근화동 156-1,경춘선,633,활용,운행선 인근부지,미사용,계획없음,48.0, ,385800.0,가능,3.64,1042565.0,201265.0
1113,수도권본부,강원도 춘천시 근화동 156-5,경춘선,10,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1114,수도권본부,강원도 춘천시 근화동 169-2,경춘선,975,활용,운행선 인근부지,미사용,계획없음,75.0, ,130400.0,가능,3.64,1629004.0,314475.0
1115,수도권본부,강원도 춘천시 근화동 189-1,경춘선,1842,활용,운행선 인근부지,미사용,계획없음,141.0, ,139900.0,가능,3.64,3062527.0,577204.0
1117,수도권본부,강원도 춘천시 근화동 194-3,경춘선,440,활용,운행선 인근부지,미사용,계획없음,33.0, ,118400.0,가능,3.64,716764.0,138369.0
1118,수도권본부,강원도 춘천시 근화동 42-7,경춘선,340,활용,운행선 인근부지,미사용,계획없음,26.0, ,118400.0,가능,3.64,564721.0,103038.0
1120,수도권본부,강원도 춘천시 근화동 539-10,경춘선,146,활용,운행선 인근부지,미사용,계획없음,11.0, ,139900.0,가능,3.64,238923.0,43593.0
1121,수도권본부,강원도 춘천시 근화동 539-2,경춘선,284,활용,운행선 인근부지,미사용,계획없음,21.0, ,139900.0,가능,3.64,456126.0,69115.0
1122,수도권본부,강원도 춘천시 근화동 540-1,경춘선,10,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1123,수도권본부,강원도 춘천시 근화동 540-2,경춘선,15,활용,운행선 인근부지,미사용,계획없음,1.0, ,139900.0,가능,3.64,21716.0,3962.0
1124,수도권본부,강원도 춘천시 근화동 540-4,경춘선,18,활용,운행선 인근부지,미사용,계획없음,1.0, ,139900.0,가능,3.64,21716.0,3962.0
1126,수도권본부,강원도 춘천시 근화동 544-13,경춘선,456,활용,운행선 인근부지,미사용,계획없음,35.0, ,139900.0,가능,3.64,760203.0,146755.0
1127,수도권본부,강원도 춘천시 근화동 544-2,경춘선,134,활용,운행선 인근부지,미사용,계획없음,10.0, ,139900.0,가능,3.64,217197.0,39629.0
1128,수도권본부,강원도 춘천시 근화동 547-1,경춘선,6270,활용,운행선 인근부지,미사용,계획없음,482.0, ,139900.0,가능,3.64,10469072.0,1891961.0
1129,수도권본부,강원도 춘천시 근화동 547-2,경춘선,48,활용,운행선 인근부지,미사용,계획없음,3.0, ,139900.0,가능,3.64,65159.0,11888.0
1130,수도권본부,강원도 춘천시 근화동 561-1,경춘선,1643,활용,운행선 인근부지,미사용,계획없음,126.0, ,362900.0,가능,3.64,2736725.0,519406.0
1133,수도권본부,강원도 춘천시 근화동 566-3,경춘선,66,활용,운행선 인근부지,미사용,계획없음,5.0, ,374300.0,가능,3.64,108606.0,19816.0
1135,수도권본부,강원도 춘천시 근화동 597,경춘선,114,활용,운행선 인근부지,미사용,계획없음,8.0, ,378200.0,가능,3.64,173760.0,31704.0
1136,수도권본부,강원도 춘천시 근화동 598-1,경춘선,1006,활용,운행선 인근부지,미사용,계획없음,77.0, ,374300.0,가능,3.64,1672445.0,322862.0
1138,수도권본부,강원도 춘천시 근화동 598-4,경춘선,882,활용,운행선 인근부지,미사용,계획없음,67.0, ,374300.0,가능,3.64,1455246.0,280932.0
1139,수도권본부,강원도 춘천시 근화동 598-5,경춘선,24,활용,운행선 인근부지,미사용,계획없음,1.0, ,139900.0,가능,3.64,21716.0,3962.0
1140,수도권본부,강원도 춘천시 근화동 598-6,경춘선,8,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1141,수도권본부,강원도 춘천시 근화동 598-8,경춘선,30,활용,운행선 인근부지,미사용,계획없음,2.0, ,139900.0,가능,3.64,43440.0,7926.0
1142,수도권본부,강원도 춘천시 근화동 599-1,경춘선,1933,활용,운행선 인근부지,미사용,계획없음,148.0, ,263700.0,가능,3.64,3214567.0,604363.0
1143,수도권본부,강원도 춘천시 근화동 600-5,경춘선,51,활용,운행선 인근부지,미사용,계획없음,3.0, ,139900.0,가능,3.64,65159.0,11888.0
